,holland,dennis,dushku,soares,gerard,eyring,bednar,feo,nielson,alonso,gong,nelson1,cook,bowen,bangerter,spannaus,carpenter,uchtdorf,rasband,porter,renlund,pieper,kearon,taylor,oaks,christofferson,godoy,stevenson,held,andersen,pace,nelson
affirm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07224350348428374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034613228495626015,0.0,0.0,0.0,0.0,0.0,0.0,0.04044193256934041,0.0,0.0,0.0,0.0,0.0,0.0,0.0406251392828743
affirmatively,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04260143571466291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050649641346730515,0.04206533473247515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affliction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03769543340596826,0.07439160274682206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10428222549563688,0.0,0.0332715504377401,0.06934337286319373,0.0,0.08792864177617259,0.0,0.0,0.0
afraid,0.0,0.0,0.04579995778634897,0.0,0.0,0.051409946476673525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08831240352052803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07188956945248487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aftermath,0.0,0.0,0.0,0.0,0.0,0.0575446086226414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afternoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047820799946053955,0.0,0.0
age,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03305862673985478,0.0,0.05129538481919645,0.0,0.0,0.0,0.0,0.0,0.0,0.057224593525601684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05236605909085598,0.0,0.05757989829320136,0.0,0.0
agency,0.0,0.02959189614276869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02681509017033356,0.06807934675713927,0.08563852574564083,0.0,0.07162328282967954,0.0,0.027839931885455207,0.0,0.0,0.0,0.0,0.0,0.055371000748890516,0.0,0.0,0.0,0.05964641186568325,0.0,0.075632721132829,0.0,0.0,0.0
agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062477510554805424,0.0,0.0,0.0
ago,0.026339279139350694,0.0,0.0,0.0,0.026308821886710722,0.04416199557902277,0.0,0.048682566232046136,0.0,0.0,0.0,0.0,0.0,0.0,0.0268174544182828,0.0,0.0,0.034994224663940275,0.0,0.0,0.019899150958000517,0.02703349241116221,0.025697045938026932,0.02134180638356427,0.0,0.022487850231009025,0.02768121516715858,0.0,0.028318683134555378,0.04548816166574497,0.0,0.024257967929325202
agonizing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04153057796654005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04206533473247515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agony,0.0,0.0,0.0,0.0,0.058043295632831074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06107111000036774,0.0,0.0,0.0,0.0,0.0
agreement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053518641390961776
